,Number of Specimens,Percentage
Passeriformes,23039,86.99543103122758
Apodiformes,968,3.6551750179360347
Psittaciformes,480,1.8124834799682816
Galbuliformes,450,1.699203262470264
Piciformes,395,1.4915228637238982
Columbiformes,297,1.121474153230374
Coraciiformes,173,0.6532492542385682
Caprimulgiformes,133,0.5022089642412113
Trogoniformes,87,0.328512630744251
Accipitriformes,75,0.283200543745044
Strigiformes,61,0.2303364422459691
Falconiformes,59,0.22278442774610127
Gruiformes,50,0.188800362496696
Galliformes,44,0.16614431899709248
Cuculiformes,37,0.13971226824755503
Charadriiformes,36,0.1359362609976211
Cathartiformes,27,0.10195219574821585
Pelecaniformes,21,0.07929615224861232
Tinamiformes,20,0.0755201449986784
Nyctibiiformes,10,0.0377600724993392
Anseriformes,10,0.0377600724993392
Suliformes,5,0.0188800362496696
Eurypygiformes,3,0.01132802174980176
Opisthocomiformes,3,0.01132802174980176
