"","LON_DEC","LAT_DEC"
"1",-69.453,-4.025
"2",-68.844,-3.458
"3",-67.961,-3.139
"4",-67,-2.742
"5",-65.717,-2.663
"6",-64.633,-3.153
"7",-64.188,-3.631
"8",-63.397,-3.917
"9",-62.822,-3.903
"10",-61.95,-3.975
"11",-61.486,-3.713
"12",-64.619,-2.707
"13",-65.274,0.496
"14",-65.157,-0.352
"15",-64.183,-7.218
"16",-64.353,-6.522
"17",-64.017,-8.851
"18",-62.354,-9.521
"19",-64.71,-9.346
"20",-60.001,-3.052
"21",-64.804,1.185
"22",-60.051,-1.98
"23",-65.35,-9.517
"24",-58.717,-3.05
"25",-60.2,-6.017
"26",-60.797,-5.505
"27",-64.323,-9.065
"28",-65.103,-9.117
"29",-56.717,-2.633
"30",-60.968,1.273
"31",-60.91,3.46
"32",-60.91,-3.462
"33",-59.55,-3.6
"34",-62.183,-7.883
"35",-61.584,-5.465
"36",-67.617,-1.75
"37",-68.417,-2.317
"38",-67.933,-1.933
"39",-60.039,-2.633
"40",-58.617,-8.35
"41",-66.067,-3.6
"42",-65.95,-3.183
"43",-59.142,-8.575
"44",-58.854,-7.787
"45",-62.798,-8.168
"46",-60.67,-7.621
"47",-55.962,-4.293
"48",-64.339,-3.97
"49",-60.343,-3.294
"50",-63.83,-3.846
"51",-61.163,0.958
"52",-61.257,-1.492
"53",-61.257,1.492
"54",-66.986,-0.178
"55",-62.911,0.554
"56",-62.799,-0.025
"57",-60.412,-5.492
"58",-59.78,-8.419
"59",-64.725,-2.35
"60",-60.133,-4.15
"61",-61.117,-4.917
"62",-69.3,-8.167
"63",-68.983,-7.425
"64",-68.604,-7.541
"65",-64.367,-8.667
"66",-61.848,-5.206
"67",-61.417,-1.85
"68",-63.429,0.475
"69",-64.092,-0.064
"70",-61.435,3.366
"71",-62.317,-1.05
"72",-62.5,-0.717
"73",-62.041,-4.654
"74",-60.436,-8.75
"75",-71.007,-7.325
"76",-71.084,-7.717
"77",-61.874,-10.187
"78",-61.675,-9.46
"79",-61.44,-6.102
"80",-61.074,-7.728
"81",-55.478,-4.619
"82",-59.569,-1.444
"83",-71.517,-7.217
"84",-59.079,-2.914
"85",-60.317,-3.683
"86",-60.917,-4.417
"87",-59.422,-1.935
"88",-50.45,-6.346
"89",-64.094,-9.812
"90",-64.359,-9.449
"91",-58.674,-2.274
"92",-54.022,-2.182
"93",-59.022,-2.182
"94",-59.95,-6.883
"95",-63.46,0.871
"96",-67.05,-8.533
"97",-58.233,-1.883
"98",-67.517,-8.55
"99",-50.061,-6.075
"100",-56.617,-4.667
"101",-60.718,2.815
"102",-58.327,-10.383
"103",-58.254,-9.838
"104",-55.592,-3.705
"105",-55.302,-2.546
"106",-63.181,-0.681
"107",-60.317,1.2
"108",-61.667,2.533
"109",-61.25,2.533
"110",-61.636,0.447
"111",-64.8,-0.4
"112",-60.933,1.662
"113",-56.85,-5.067
"114",-56.433,-5.067
"115",-56.287,-4.503
"116",-60.762,-3.057
"117",-57.127,-5.593
"118",-60.433,-1.018
"119",-62.967,-4.983
"120",-63.2,-5.717
"121",-61.799,-0.559
"122",-61.876,-1.024
"123",-61.811,-0.103
"124",-61.206,-5.608
"125",-62.525,-5.987
"126",-62.206,-5.608
"127",-62.974,-6.659
"128",-63.195,-7.348
"129",-55.2,-3.35
"130",-51.285,0.851
"131",-69.033,-1.85
"132",-56.6,-1.733
"133",-64.967,-5.233
"134",-60.833,-2.333
"135",-57.617,-2.617
"136",-54.8,-2.25
"137",-59.064,-3.437
"138",-50.807,-2.57
"139",-58.805,-3.902
"140",-58.609,-4.297
"141",-60.65,-2.694
"142",-61.9,1.6
"143",-62.883,-0.4
"144",-62.927,-0.968
"145",-58.021,-2.753
"146",-60.816,2.456
"147",-48.952,-4.211
"148",-58.284,-8.15
"149",-58.85,-7.317
"150",-52.635,-3.818
"151",-51.698,-3.483
"152",-51.887,-2.929
"153",-62.3,-3.723
"154",-55.5,-1.975
"155",-56.135,-2.038
"156",-61.643,-8.457
"157",-63.857,-7.851
"158",-67.087,-3.473
"159",-66.857,-4.818
"160",-67.285,-5.439
"161",-67.861,-5.897
"162",-62.511,-5.022
"163",-55.915,-9.543
"164",-55.317,-9.367
"165",-55.35,-9.983
"166",-73.63,-7.442
"167",-73.622,-7.064
"168",-60.6,5.117
